State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	0.38852	0.38897	0.39010	0.39168	0.39190	0.39303	0.39506	0.39867	0.40340	0.40498	0.40859	0.41107	0.41377	0.41423	0.41603	0.41625	0.41513	0.41490	0.41513	0.41716	0.41535
2	3.03076	3.01808	3.01808	3.03076	2.91663	2.82786	2.65033	2.46011	2.14309	1.96556	1.66121	1.43295	1.30614	1.25542	1.16665	1.11593	1.01448	1.01448	1.00180	0.93839	0.88767
3	4.54767	4.58967	4.61667	4.60467	4.65266	4.61367	4.59417	4.57767	4.46818	4.32569	4.16220	3.91922	3.72273	3.47375	3.28176	3.07178	2.91129	2.74180	2.64131	2.46282	2.34433
4	2.18140	2.17490	2.15988	2.16238	2.15738	2.16438	2.16438	2.15337	2.16739	2.19742	2.22395	2.27401	2.31405	2.36110	2.36060	2.36110	2.34609	2.33708	2.33107	2.32406	2.29753
5	1.26220	1.23128	1.23700	1.21524	1.18317	1.17172	1.14537	1.10529	1.08123	1.03885	0.99419	0.99419	0.99762	0.98273	0.97471	0.95639	0.95753	0.96555	0.94722	0.96555	0.97815
6	2.07143	2.01832	1.96037	1.91209	1.87346	1.91692	1.89760	1.98452	2.03763	1.94589	1.87829	1.81069	1.58858	1.55478	1.54029	1.50649	1.46304	1.46787	1.51132	1.49684	1.46304
7	2.54284	2.43188	2.36715	2.50585	2.52434	2.42263	2.30242	2.22845	2.28393	2.19146	2.10824	2.02502	1.90482	1.76611	1.68289	1.72913	1.72913	1.73837	1.59967	1.59043	1.47947
8	1.17675	1.18042	1.22074	1.21708	1.23174	1.33805	1.42603	1.44436	1.62032	1.59100	1.68631	1.60199	1.52501	1.44070	1.44070	1.41870	1.49568	1.55800	1.57633	1.50302	1.46269
9	2.08896	2.11339	2.24777	2.29663	2.36382	2.35160	2.57760	2.62036	2.60814	2.77917	2.73641	2.65700	2.61425	2.63257	2.55928	2.53484	2.47987	2.38214	2.27220	2.20501	2.21112
10	1.06068	1.08678	1.04881	1.10576	1.06779	1.06068	1.14373	1.18407	1.20542	1.31220	1.32169	1.34779	1.31932	1.24576	1.22678	1.24339	1.28610	1.34068	1.26712	1.34542	1.32881
11	3.14888	3.16094	3.11872	2.76281	2.82916	2.96188	2.85329	3.02220	2.85329	2.53961	2.41293	2.67836	2.53961	2.55771	2.59390	2.67232	2.56374	2.43103	2.48532	2.58184	2.70249
12	4.62417	4.66099	4.55790	4.54318	4.36646	4.10138	3.94675	3.74794	3.44604	3.29141	2.99688	2.81279	3.03369	3.15151	3.14414	3.01160	3.06315	2.99688	2.96742	3.02633	3.14414
13	0.93175	0.92981	0.93627	0.93951	0.92916	0.93627	0.94920	0.96472	0.98735	1.01257	1.01774	1.01774	1.02421	1.02744	1.03262	1.02162	1.02421	1.02356	1.03197	1.03391	1.03844
14	0.74749	0.74778	0.74972	0.75201	0.75464	0.75573	0.75476	0.75619	0.75927	0.76510	0.77608	0.78266	0.79124	0.80021	0.80965	0.82011	0.82783	0.83521	0.84270	0.84710	0.85425
15	4.14289	4.18781	4.09298	4.06303	4.08299	4.01311	4.00313	3.89332	3.78351	3.65872	3.47903	3.39418	3.28436	3.17954	3.12464	3.13462	3.13462	3.14460	3.12464	3.17954	3.18454
