State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	0.28541	0.28381	0.28222	0.28003	0.28083	0.27824	0.27765	0.27466	0.27227	0.27068	0.26948	0.26909	0.27008	0.27128	0.27466	0.27605	0.27705	0.27625	0.27884	0.28103	0.28202
2	0.77231	0.73873	0.78350	0.85066	0.85066	0.87304	0.88424	0.86185	0.87304	0.86185	0.83947	0.85066	0.81708	0.73873	0.72754	0.73873	0.73873	0.77231	0.77231	0.73873	0.73873
3	0.44879	0.40908	0.38922	0.37201	0.34950	0.33097	0.31376	0.31111	0.31641	0.32038	0.33626	0.35215	0.36539	0.36671	0.37466	0.39054	0.40246	0.42364	0.46600	0.50969	0.56397
4	1.07228	1.01131	0.96227	0.88186	0.80100	0.71662	0.63665	0.54166	0.46302	0.42193	0.40249	0.39719	0.40956	0.45065	0.52664	0.62649	0.75373	0.89290	1.02809	1.17345	1.28700
5	1.59429	1.49218	1.34660	1.15149	0.94020	0.79462	0.68341	0.61669	0.56917	0.56816	0.57827	0.56816	0.61365	0.70869	0.90481	1.23944	1.73886	2.40205	3.05412	3.58387	4.09440
6	4.79461	4.87559	4.87985	4.78183	4.30876	3.19215	2.17356	1.55559	1.22316	1.12087	1.18480	1.14645	1.24447	1.98603	4.44088	8.84766	12.77285	14.85264	15.42373	14.98476	14.04289
7	4.77452	5.55803	6.34970	7.11689	7.63923	7.43519	5.86817	4.14608	3.13404	2.57089	2.37502	2.57906	3.33808	6.65984	13.85834	19.79180	21.48125	20.32231	18.24111	16.51085	14.80509
8	1.92524	2.10320	2.30058	2.47854	3.00273	3.75017	4.59792	5.31625	5.12858	3.32629	1.81522	1.82170	1.75051	1.91877	1.97377	1.76022	1.51107	1.23280	1.26192	1.14867	1.02248
9	1.54729	1.67669	1.68208	1.87616	1.89773	1.78451	1.38017	1.09982	0.70087	0.66313	0.52295	0.49061	0.59843	0.72782	1.05130	1.72521	2.30746	2.59859	2.50694	2.44225	2.39912
10	1.78654	1.85565	2.04625	2.45256	2.70389	3.06623	2.93428	2.45047	1.75512	1.34671	1.15193	0.91107	0.89432	1.12889	1.59176	1.70695	1.68391	1.57919	1.37603	1.28597	1.21267
11	3.40231	3.75905	4.52577	6.16569	8.89713	12.63488	18.81122	25.91934	31.08936	37.49998	38.13359	25.64247	21.31370	17.59193	13.45484	9.83955	7.03358	5.01029	3.84956	3.06687	2.45456
12	4.95892	5.82332	7.12966	9.03394	12.43304	17.73642	25.91246	35.57683	46.32657	50.36259	55.67897	71.91406	73.33090	67.72856	54.46361	38.15053	25.19754	16.82653	11.49715	8.13055	5.86231
13	1.86739	1.77722	1.65223	1.55178	1.42794	1.27784	1.10891	0.92171	0.75906	0.65975	0.62608	0.62722	0.65576	0.70027	0.76762	0.85265	0.94625	1.04384	1.13573	1.22020	1.30980
14	0.85948	0.85145	0.83551	0.80659	0.76440	0.70414	0.61945	0.52114	0.44109	0.40011	0.38538	0.38245	0.39769	0.42348	0.45487	0.49040	0.51993	0.54213	0.55859	0.57110	0.58306
15	7.00944	7.75841	8.69682	9.51187	10.31811	11.21247	11.95703	12.71040	13.34482	13.84266	14.01448	14.09378	14.32288	14.39337	14.10260	13.59154	12.82935	11.97906	11.01421	10.04496	9.04928
