State (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	15.41889	0.19702	0.30398	0.64192	0.40863	0.26949	0.30419	1.75043
2	0.27417	1.75753	3.04961	0.51140	1.66138	0.83949	0.72446	0.22557
3	2.31804	0.07249	5.54056	2.27405	4.16263	0.33628	0.42556	0.24478
4	6.94596	0.44924	2.30183	2.15480	2.22418	0.40250	0.73974	0.32062
5	3.03552	0.57829	1.34292	2.28883	0.99429	0.57829	1.27636	0.12964
6	0.72006	0.45400	1.80557	2.28168	1.87366	1.18484	5.08617	0.12703
7	0.37601	0.27553	2.00905	2.23394	2.10846	2.37509	7.95430	0.12424
8	0.94842	0.43221	1.29485	1.20824	1.68649	1.81528	2.45063	0.43981
9	0.56922	0.09396	2.64515	2.09539	2.73670	0.52297	1.43076	0.24419
10	1.46523	0.24655	0.99257	1.03715	1.32183	1.15196	1.79610	0.63096
11	0.57636	39.16591	5.11423	1.02853	2.41318	38.13476	13.79742	0.42545
12	0.47218	64.42152	9.65283	1.84255	2.99719	55.67418	26.31003	0.19162
13	5.37709	0.14000	0.78875	0.79682	1.01785	0.62610	1.17198	1.04990
14	60.80629	0.20277	0.66069	0.82003	0.77605	0.38539	0.62076	1.01398
15	0.69656	34.60791	4.88772	1.18289	3.47939	14.01491	11.86550	0.72405
Base	100	0.6832847744	2.4487802305	42.0774209923	0.0009290009	0.0010525920	3.4107529258	36.8568410921
