State (Emission order)	H3k36me3Std	H3k9me1Std	H3k09me3	H3k27me3Std	Ezh239875	H2az	H3k9acStd	H3k27acStd	H3k4me1Std	H3k79me2
1	7.012176197824893E-4	4.5674245069441934E-4	0.11116184287959913	4.613304665385967E-4	7.088360794541049E-4	1.0678950443807547E-4	6.989384819044921E-5	9.379682272609128E-4	1.402831380891695E-4	4.350152787339716E-5
2	0.3211187593959854	0.0870089215733901	0.835395808087086	0.16115270535944443	0.15143579673123292	0.05457071479209822	0.019902301116051947	0.022628304820207543	0.024316520441166865	0.020720765346225658
3	0.429587362498165	0.007017393966227257	0.001441491488581708	1.138518694389838E-4	0.0017407411600409745	7.834310571364751E-4	0.0014200687568981835	0.014272448534722374	0.004690948571295129	0.05195531903143079
4	0.03962307829588211	0.005736584158242693	8.660518276257932E-4	1.1309700219865083E-4	0.0015615921820993147	5.697239825680479E-4	5.360214041104138E-4	0.0047672599795091026	0.0027800770996437934	0.02828552142928801
5	0.10111506384623425	0.013738999008128996	0.0030390788433453117	2.299442768838753E-4	0.0023405180228198213	7.600965852629078E-4	0.0012057537537403765	0.009758071835655656	0.010868660133953423	0.7003380611509255
6	0.14904904039749492	0.027722196604036645	0.0014525052564567762	2.681301833493716E-4	0.005950881578470984	0.018558924763261608	0.03719521671175705	0.14657688905035426	0.7488507137454985	0.9036229890350251
7	0.1089317192000936	0.01384006200239235	8.584730041486461E-4	3.907257759135353E-4	0.005109019222035372	0.1054831157184628	0.6924734875515939	0.8632029722517198	0.9419050253431024	0.869809863357466
8	0.004854573163542387	0.003924383977896806	0.001708814409483537	1.7625261401941228E-4	0.0205107931384382	0.44756888933846095	0.5881379071839251	0.9621439627767023	0.955159540816099	0.007945106516086564
9	0.095157429194666	0.013337455831551001	0.0015235082608990366	1.1375582541240836E-4	0.0049732762219208216	0.02589903127064733	0.025311032512370765	0.28016319021833397	0.7923234450252	0.09101596426620201
10	6.248650498623501E-4	0.005724503754401944	0.0020905017304333226	0.00328916558955513	0.01809921657241092	0.1820481666355596	0.011102514929060683	0.11773353506585325	0.7283487318200752	7.940406406730671E-4
11	5.604474726694753E-4	9.652742562458717E-4	0.0013539287048353642	0.009548625825575682	0.22151176226554437	0.814248558887789	0.17710957401546365	0.03462360100472773	0.19832946544828534	0.013389933834313528
12	6.845810650806665E-4	2.028480886495892E-5	0.0011837931407685852	0.001576520221193932	0.041453209689002825	0.777975748845664	0.9535680806941298	0.7249105402732483	0.09829444738623613	0.5739813610684741
13	4.0651575021671826E-4	0.002651511968468907	0.0010443696829083623	0.2857734263901574	0.04303666352354213	0.0016094206569992368	3.1665806776188485E-4	0.0013813297117574765	0.0016234511731482578	8.937937005477239E-5
14	7.478468388306796E-4	0.001507057757580553	0.0016401070011065329	0.004056129294696951	0.0028688554883043228	0.002464927756411156	1.5479417216159543E-4	0.0012849194801937956	2.925701809759992E-4	4.168155356470386E-5
15	4.3470603680389146E-4	0.0016091993029678537	0.004115182898947245	0.5643221968455289	0.9075133573750749	0.15928743089128516	0.0036724540100138412	0.0014172294635044925	0.04104957513227341	9.419604229560239E-4
