15	10	E	-7643838.196149275	134
probinit	1	1.8192944629858572E-195
probinit	2	0.0
probinit	3	0.0
probinit	4	5.3988991087159226E-210
probinit	5	0.0
probinit	6	0.0
probinit	7	0.0
probinit	8	0.0
probinit	9	0.0
probinit	10	4.499483738243655E-260
probinit	11	2.596E-320
probinit	12	0.0
probinit	13	5.860231410931931E-215
probinit	14	1.0
probinit	15	0.0
transitionprobs	1	1	0.9969620322832298
transitionprobs	1	2	7.549824329238422E-4
transitionprobs	1	3	9.987015079706043E-6
transitionprobs	1	4	3.419730338384751E-5
transitionprobs	1	5	5.2571263954456835E-6
transitionprobs	1	6	0.0
transitionprobs	1	7	0.0
transitionprobs	1	8	5.1303742031944506E-6
transitionprobs	1	9	9.261398597776527E-6
transitionprobs	1	10	3.771887631134211E-5
transitionprobs	1	11	1.4149542121019574E-5
transitionprobs	1	12	0.0
transitionprobs	1	13	0.0
transitionprobs	1	14	0.002167283647754057
transitionprobs	1	15	0.0
transitionprobs	2	1	0.041924867479058235
transitionprobs	2	2	0.9332795529121417
transitionprobs	2	3	0.007023984918040483
transitionprobs	2	4	0.0
transitionprobs	2	5	8.25881281180978E-4
transitionprobs	2	6	0.0
transitionprobs	2	7	0.0
transitionprobs	2	8	0.0
transitionprobs	2	9	6.578449238187784E-4
transitionprobs	2	10	3.9717218221104784E-4
transitionprobs	2	11	4.254156608313556E-4
transitionprobs	2	12	1.2683518008125555E-4
transitionprobs	2	13	0.0030983026673934784
transitionprobs	2	14	0.011477354101006615
transitionprobs	2	15	7.627886942360655E-4
transitionprobs	3	1	3.252698838426988E-5
transitionprobs	3	2	9.226729352499415E-4
transitionprobs	3	3	0.9485213367037233
transitionprobs	3	4	0.03775130423348694
transitionprobs	3	5	0.00495285055005924
transitionprobs	3	6	4.659267971158898E-4
transitionprobs	3	7	0.0
transitionprobs	3	8	0.0
transitionprobs	3	9	0.006140903414878945
transitionprobs	3	10	0.0
transitionprobs	3	11	4.058325835767193E-6
transitionprobs	3	12	0.0
transitionprobs	3	13	0.0
transitionprobs	3	14	0.0011986767840242475
transitionprobs	3	15	9.743267241559153E-6
transitionprobs	4	1	7.518944543498798E-5
transitionprobs	4	2	0.0
transitionprobs	4	3	0.012870211477673421
transitionprobs	4	4	0.9565348252378048
transitionprobs	4	5	0.010366765689092618
transitionprobs	4	6	1.3283982081014722E-4
transitionprobs	4	7	6.214819993762673E-5
transitionprobs	4	8	0.0
transitionprobs	4	9	0.012793496288360644
transitionprobs	4	10	0.0023387583952868235
transitionprobs	4	11	8.016122763855632E-4
transitionprobs	4	12	3.2204739661510757E-4
transitionprobs	4	13	0.0
transitionprobs	4	14	0.0037021057725982846
transitionprobs	4	15	0.0
transitionprobs	5	1	4.5683308755313494E-5
transitionprobs	5	2	9.165066707275114E-5
transitionprobs	5	3	0.004209314305139288
transitionprobs	5	4	0.024156842223778834
transitionprobs	5	5	0.9309996775296133
transitionprobs	5	6	0.03740689348588706
transitionprobs	5	7	0.0
transitionprobs	5	8	0.0
transitionprobs	5	9	0.0018466751767078542
transitionprobs	5	10	0.0
transitionprobs	5	11	1.1447061709872986E-4
transitionprobs	5	12	0.0010798686907067649
transitionprobs	5	13	3.4081319221368165E-5
transitionprobs	5	14	0.0
transitionprobs	5	15	1.4842676018796414E-5
transitionprobs	6	1	0.0
transitionprobs	6	2	0.0
transitionprobs	6	3	0.0013063062161612511
transitionprobs	6	4	0.001602603101822348
transitionprobs	6	5	0.14906791667113367
transitionprobs	6	6	0.7533108961358574
transitionprobs	6	7	0.06567511928661708
transitionprobs	6	8	0.0
transitionprobs	6	9	0.015485369491746007
transitionprobs	6	10	2.1366884254686358E-4
transitionprobs	6	11	0.0
transitionprobs	6	12	0.01333812025411546
transitionprobs	6	13	0.0
transitionprobs	6	14	0.0
transitionprobs	6	15	0.0
transitionprobs	7	1	0.0
transitionprobs	7	2	0.0
transitionprobs	7	3	0.0
transitionprobs	7	4	0.0010762378741851935
transitionprobs	7	5	0.0
transitionprobs	7	6	0.1363218054679419
transitionprobs	7	7	0.7646619186034183
transitionprobs	7	8	0.026283885291704757
transitionprobs	7	9	0.0167738914755471
transitionprobs	7	10	0.0
transitionprobs	7	11	0.0
transitionprobs	7	12	0.05488226128720281
transitionprobs	7	13	0.0
transitionprobs	7	14	0.0
transitionprobs	7	15	0.0
transitionprobs	8	1	0.0
transitionprobs	8	2	3.902683319886911E-5
transitionprobs	8	3	0.0
transitionprobs	8	4	0.0
transitionprobs	8	5	2.1212966945390337E-5
transitionprobs	8	6	0.0
transitionprobs	8	7	0.011019963291267759
transitionprobs	8	8	0.7917382711817397
transitionprobs	8	9	0.04851691252357147
transitionprobs	8	10	0.12362337248454572
transitionprobs	8	11	0.004147432096472199
transitionprobs	8	12	0.010726382540893104
transitionprobs	8	13	0.0
transitionprobs	8	14	0.010167426081365864
transitionprobs	8	15	0.0
transitionprobs	9	1	1.3528363719843097E-4
transitionprobs	9	2	0.0
transitionprobs	9	3	0.024204209379908977
transitionprobs	9	4	0.1435816754396988
transitionprobs	9	5	0.008355386378874697
transitionprobs	9	6	0.019017480421169877
transitionprobs	9	7	0.010385804944716805
transitionprobs	9	8	0.07152691599926242
transitionprobs	9	9	0.72279324379917
transitionprobs	9	10	0.0
transitionprobs	9	11	0.0
transitionprobs	9	12	0.0
transitionprobs	9	13	0.0
transitionprobs	9	14	0.0
transitionprobs	9	15	0.0
transitionprobs	10	1	4.7745352088056115E-4
transitionprobs	10	2	1.1605329003175823E-4
transitionprobs	10	3	0.0
transitionprobs	10	4	0.010259441099865632
transitionprobs	10	5	0.0
transitionprobs	10	6	1.6639872685613228E-5
transitionprobs	10	7	0.0
transitionprobs	10	8	0.07384745932683669
transitionprobs	10	9	1.2165120223939964E-6
transitionprobs	10	10	0.6952941216638405
transitionprobs	10	11	0.010842229065190511
transitionprobs	10	12	0.0017507763504093403
transitionprobs	10	13	0.0030046029067882737
transitionprobs	10	14	0.20409083021373328
transitionprobs	10	15	2.9917617771541574E-4
transitionprobs	11	1	1.7106299590043738E-4
transitionprobs	11	2	6.493618476865119E-5
transitionprobs	11	3	0.0
transitionprobs	11	4	0.008371233719367002
transitionprobs	11	5	7.79101287901821E-4
transitionprobs	11	6	0.0
transitionprobs	11	7	0.0
transitionprobs	11	8	0.006804856321054148
transitionprobs	11	9	0.0
transitionprobs	11	10	0.02518597273044291
transitionprobs	11	11	0.6809154940519344
transitionprobs	11	12	0.06717825224134015
transitionprobs	11	13	0.013086400591042963
transitionprobs	11	14	0.18619647468997966
transitionprobs	11	15	0.011246215186267922
transitionprobs	12	1	2.661094053720846E-4
transitionprobs	12	2	1.4132801141134794E-4
transitionprobs	12	3	0.0
transitionprobs	12	4	0.004674073590981101
transitionprobs	12	5	0.007452067642136263
transitionprobs	12	6	0.022255271356735964
transitionprobs	12	7	0.04569291542066987
transitionprobs	12	8	0.02267254420169319
transitionprobs	12	9	0.0
transitionprobs	12	10	0.004985538752478727
transitionprobs	12	11	0.08706825027846554
transitionprobs	12	12	0.8030462718742801
transitionprobs	12	13	0.0
transitionprobs	12	14	0.0017456294657757921
transitionprobs	12	15	0.0
transitionprobs	13	1	0.0
